id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_assets_adj;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;total_equity_adj;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_680;0;GmbH;74564;52299;2008;1.0;GKV;150021770.4;150021770.4;20473147.16;3000435.41;302880.08;14450.81;12826.73;3303315.49;3303315.49;2361032.92;39039624.58;39039624.58;28042095.98;0.0;0.0;;;;31358.1;;;;;;10937164.35;10997528.6;37917695.64;37803279.13;6433383.54;30054123.68;;-16551511.56;-325332.71;16078000.0
C_588;0;GmbH;63743;38320;1999;149.0;GKV;13005651.39;15929223.82;5281847.15;847063.53;-7650.75;16.92;7667.67;839412.78;842372.7;598402.34;3449700.65;3449700.65;1794315.72;589927.08;0.0;;99285.19;;1245000.0;490641.89;;;;;1065457.85;1065457.85;3288061.45;1817000.54;1125452.65;;;1507565.22;-87462.34;-298792.79
C_290;0;GmbH;97901;47722;1992;224.0;GKV;22596727.19;22596727.19;19660157.73;1722006.5;-755969.8;26422.78;782392.58;966036.7;966036.7;932413.88;21838955.67;16268590.33;19259061.05;0.0;0.0;;;;;;;;;;2579894.62;-2990470.72;10336462.72;4845320.9;1478397.16;2814457.91;;2423355.09;-674343.06;158819.87
C_411;0;GmbH;63843;28922;1975;192.0;GKV;88341701.82;91886595.82;44368528.37;11588470.93;-406827.5;94881.83;501919.33;11181643.43;11181643.43;7955718.11;64202015.23;64202015.23;29204031.83;1395499.64;1801809.0;337500.0;1350000.0;337500.0;5780264.33;;;;;;31800674.76;31800674.76;44052223.78;38941944.57;27247807.26;;;16518011.08;-1830062.06;-3046788.61
C_358;0;GmbH;95445;10110;2007;41.0;GKV;5683653.37;5683653.37;2106052.71;654261.11;-436040.73;;436040.73;218220.38;218220.38;217599.75;19025445.83;19025445.83;3809978.24;6842632.0;4510644.0;2399692.07;6842632.0;3310644.0;301566.49;;;;;;3862191.59;3862191.59;678993.06;663549.99;;286806.6;;505581.69;-221111.36;494209.43
C_180;0;GmbH;96476;29320;1995;858.0;GKV;214279.82;214279.82;127717.37;17009.76;-3510.61;;3510.61;13499.15;13499.15;3502.97;314239.91;314239.91;181548.59;49837.65;0.0;;;;3141.83;;;;;;82853.67;82853.67;69078.91;24701.52;17437.52;;;72585.41;-147600.84;88497.83
C_380;1;GmbH;95032;47540;1997;;GKV;71465713.21;71465713.21;15293142.47;4222630.41;-2599365.48;45788.05;2645153.53;1623264.93;1623264.93;1114973.36;58823708.44;58617272.02;31362058.33;14090563.51;466000.0;23198000.0;1304563.51;466000.0;4346523.55;;;;12786000.0;;12850742.6;12698650.18;56203929.26;46335723.83;583871.1;43568472.95;;-6525068.34;-304020.85;604170.01
C_873;0;GmbH & Co. KG;95126;47523;2006;;GKV;569664.67;569664.67;570699.26;122970.56;863.52;2821.61;1958.09;123834.08;123444.56;84280.87;874361.0;789559.83;68319.42;0.0;0.0;151.21;;;;;;;;;806041.58;721240.41;144377.36;39936.7;28217.88;;;71067.49;-54496.94;-102423.2
C_135;0;GmbH;86529;28930;1977;58.0;GKV;4686263.3;4686263.3;1048413.46;142896.64;14350.11;14217.59;;157246.75;157246.75;111227.35;4349344.02;4349344.02;632468.65;0.0;0.0;;;;122350.45;;;;;;3716875.37;3716875.37;2307948.17;2273255.39;1781883.38;226403.11;;439120.91;-178005.05;-5874.75
C_176;0;GmbH;86641;10310;1971;147.0;GKV;28564.12;28564.12;38564.12;9518.29;94255.23;;;103773.52;103773.52;-1.0900000000000001e-11;388879.56;388879.56;118314.97;0.0;0.0;;;;;;;;;;270564.59;270564.59;138879.56;34624.33;34624.33;;;85693.53;0.0;-89911.33
C_957;0;GmbH;85110;23190;1871;199.0;GKV;175564000.0;176708000.0;109487000.0;19176000.0;-1091000.0;84000.0;400000.0;18085000.0;18085000.0;0.0;117969000.0;117886000.0;80179000.0;18000.0;4381000.0;;;;5669000.0;;;;;;33391000.0;33308000.0;75910000.0;33148000.0;11727000.0;;;-6315000.0;-2474000.0;-9450000.0
C_559;1;GmbH;87544;28200;2000;85.0;GKV;3855048.99;3855048.99;726770.06;408497.49;-15652.56;0.34;15652.9;392844.93;392844.93;349688.73;871184.85;871184.85;795261.93;66466.13;0.0;213865.37;;;533569.26;;;;;;9456.79;9456.79;795364.9;210343.43;2037.42;;;280806.74;-35677.51;-274984.32
C_995;0;AG;80335;70100;1992;;GKV;47698705.11;47698705.11;9542283.19;2793983.57;-234653.01;13970.21;248623.22;2559330.56;2559330.56;2109936.86;15098670.87;-68567501.42;13040200.92;1261800.0;284669.95;5780100.0;1261800.0;284669.95;64515.54;;;;;;512000.0;-2325142.46;11409017.48;1880293.48;3855.35;635369.49;;3589775.21;-113719.69;-5235942.1
C_039;0;GmbH & Co. KG;80636;58110;1998;145.0;GKV;561280092.0;555061857.0;225425389.0;16523219.0;-1840475.0;97740.0;1938215.0;14682744.0;14682744.0;0.0;278771765.0;278386765.0;204762280.0;8010000.0;5999485.0;2668750.0;7906000.0;3719000.0;8981229.0;;;;;;60000000.0;59615000.0;182925541.0;99668153.0;6203221.0;91110546.0;;-43999967.0;-19728701.0;95112521.0
C_340;0;AG;80469;46692;2000;;GKV;45235004.53;45201809.95;18701161.05;2926678.53;42174.93;139206.78;104683.22;2968853.46;2968853.46;2124374.74;17301437.23;17293237.21;3258203.91;474712.4;1383381.67;308076.22;474712.4;119049.0;289201.78;;;;;;12176939.23;12176939.23;11116574.05;7460445.77;3781116.36;;;2529757.28;-2046942.98;-305777.47
